,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SD,SD,4,2,0,0,NYJ,21,0
HOU,HOU,4,3,0,0,TEN,41,1
ATL,ATL,4,3,0,0,DET,23,1
WSH,WSH,3,3,0,0,CAR,20,0
CHI,CHI,4,3,0,0,TB,24,1
DEN,DEN,2,4,0,0,MIA,18,1
SEA,SEA,2,4,0,0,CLE,3,0
KC,KC,3,3,0,0,OAK,28,1
PIT,PIT,5,2,0,0,ARZ,32,1
GB,GB,7,0,0,0,MIN,33,1
STL,STL,0,6,0,0,DAL,7,0
IND,IND,0,7,0,0,NO,7,0
BAL,BAL,4,2,0,0,JAX,7,0
NYJ,NYJ,4,3,0,1,SD,27,1
TEN,TEN,3,3,0,1,HOU,7,0
DET,DET,5,2,0,1,ATL,16,0
CAR,CAR,2,5,0,1,WSH,33,1
TB,TB,4,3,0,1,CHI,18,0
MIA,MIA,0,6,0,1,DEN,15,0
CLE,CLE,3,3,0,1,SEA,6,1
OAK,OAK,4,3,0,1,KC,0,0
ARZ,ARZ,1,5,0,1,PIT,20,0
MIN,MIN,1,6,0,1,GB,27,0
DAL,DAL,3,3,0,1,STL,34,1
NO,NO,5,2,0,1,IND,62,1
JAX,JAX,2,5,0,1,BAL,12,1
